No.,Lat
1,83.63197
2,81.48033
3,79.76896
4,78.30298
5,76.99911
6,75.81257
7,74.71601
8,73.69126
9,72.725525
10,71.80941
11,70.935745
12,70.09893
13,69.294495
14,68.51881
15,67.76884
16,67.04206
17,66.33635
18,65.64985
19,64.98099
20,64.32838
21,63.690807
22,63.0672
23,62.456604
24,61.858166
25,61.27113
26,60.6948
27,60.128555
28,59.571827
29,59.024097
30,58.484894
31,57.95379
32,57.43037
33,56.91428
34,56.40517
35,55.90273
36,55.40666
37,54.916687
38,54.43256
39,53.954033
40,53.48089
41,53.012913
42,52.549908
43,52.091694
44,51.63809
45,51.18893
46,50.74406
47,50.303333
48,49.86661
49,49.433758
50,49.00465
51,48.579163
52,48.15719
53,47.738617
54,47.32334
55,46.911266
56,46.502296
57,46.09634
58,45.693314
59,45.293133
60,44.89572
61,44.501
62,44.108894
63,43.71934
64,43.332268
65,42.94761
66,42.565308
67,42.185303
68,41.80753
69,41.431942
70,41.058483
71,40.6871
72,40.317745
73,39.950367
74,39.58492
75,39.22136
76,38.859642
77,38.499725
78,38.14157
79,37.785137
80,37.430386
81,37.07728
82,36.72578
83,36.375854
84,36.027473
85,35.680595
86,35.335194
87,34.991234
88,34.64869
89,34.30753
90,33.967724
91,33.629246
92,33.29207
93,32.956165
94,32.62151
95,32.28808
96,31.955841
97,31.62478
98,31.294872
99,30.966091
100,30.638416
101,30.311827
102,29.9863
103,29.661814
104,29.33835
105,29.01589
106,28.694414
107,28.3739
108,28.054333
109,27.735691
110,27.417961
111,27.101122
112,26.785158
113,26.470053
114,26.15579
115,25.842354
116,25.529726
117,25.217896
118,24.906843
119,24.596556
120,24.28702
121,23.978218
122,23.67014
123,23.36277
124,23.056093
125,22.7501
126,22.444773
127,22.140102
128,21.836075
129,21.532677
130,21.229897
131,20.927721
132,20.626143
133,20.325144
134,20.024717
135,19.72485
136,19.42553
137,19.126749
138,18.828493
139,18.530754
140,18.233519
141,17.93678
142,17.640526
143,17.344746
144,17.049429
145,16.754568
146,16.460152
147,16.166172
148,15.872617
149,15.579478
150,15.286747
151,14.994413
152,14.70247
153,14.410906
154,14.119713
155,13.828882
156,13.538405
157,13.248274
158,12.958479
159,12.669013
160,12.379867
161,12.091032
162,11.802501
163,11.514265
164,11.226317
165,10.938648
166,10.651252
167,10.364119
168,10.077242
169,9.790613
170,9.504226
171,9.218072
172,8.932143
173,8.646433
174,8.360933
175,8.075637
176,7.790537
177,7.5056257
178,7.2208962
179,6.9363413
180,6.6519537
181,6.367726
182,6.0836515
183,5.799723
184,5.5159335
185,5.2322764
186,4.9487443
187,4.6653304
188,4.3820276
189,4.0988297
190,3.8157291
191,3.5327194
192,3.2497935
193,2.966945
194,2.684167
195,2.4014523
196,2.1187947
197,1.8361874
198,1.5536234
199,1.2710963
200,0.9885993
201,0.7061257
202,0.4236687
203,0.14122179
204,-0.14122179
205,-0.4236687
206,-0.7061257
207,-0.9885993
208,-1.2710963
209,-1.5536234
210,-1.8361874
211,-2.1187947
212,-2.4014523
213,-2.684167
214,-2.966945
215,-3.2497935
216,-3.5327194
217,-3.8157291
218,-4.0988297
219,-4.3820276
220,-4.6653304
221,-4.9487443
222,-5.2322764
223,-5.5159335
224,-5.799723
225,-6.0836515
226,-6.367726
227,-6.6519537
228,-6.9363413
229,-7.2208962
230,-7.5056257
231,-7.790537
232,-8.075637
233,-8.360933
234,-8.646433
235,-8.932143
236,-9.218072
237,-9.504226
238,-9.790613
239,-10.077242
240,-10.364119
241,-10.651252
242,-10.938648
243,-11.226317
244,-11.514265
245,-11.802501
246,-12.091032
247,-12.379867
248,-12.669013
249,-12.958479
250,-13.248274
251,-13.538405
252,-13.828882
253,-14.119713
254,-14.410906
255,-14.70247
256,-14.994413
257,-15.286747
258,-15.579478
259,-15.872617
260,-16.166172
261,-16.460152
262,-16.754568
263,-17.049429
264,-17.344746
265,-17.640526
266,-17.93678
267,-18.233519
268,-18.530754
269,-18.828493
270,-19.126749
271,-19.42553
272,-19.72485
273,-20.024717
274,-20.325144
275,-20.626143
276,-20.927721
277,-21.229897
278,-21.532677
279,-21.836075
280,-22.140102
281,-22.444773
282,-22.7501
283,-23.056093
284,-23.36277
285,-23.67014
286,-23.978218
287,-24.28702
288,-24.596556
289,-24.906843
290,-25.217896
291,-25.529726
292,-25.842354
293,-26.15579
294,-26.470053
295,-26.785158
296,-27.101122
297,-27.417961
298,-27.735691
299,-28.054333
300,-28.3739
301,-28.694414
302,-29.01589
303,-29.33835
304,-29.661814
305,-29.9863
306,-30.311827
307,-30.638416
308,-30.966091
309,-31.294872
310,-31.62478
311,-31.955841
312,-32.28808
313,-32.62151
314,-32.956165
315,-33.29207
316,-33.629246
317,-33.967724
318,-34.30753
319,-34.64869
320,-34.991234
321,-35.335194
322,-35.680595
323,-36.027473
324,-36.375854
325,-36.72578
326,-37.07728
327,-37.430386
328,-37.785137
329,-38.14157
330,-38.499725
331,-38.859642
332,-39.22136
333,-39.58492
334,-39.950367
335,-40.317745
336,-40.6871
337,-41.058483
338,-41.431942
339,-41.80753
340,-42.185303
341,-42.565308
342,-42.94761
343,-43.332268
344,-43.71934
345,-44.108894
346,-44.501
347,-44.89572
348,-45.293133
349,-45.693314
350,-46.09634
351,-46.502296
352,-46.911266
353,-47.32334
354,-47.738617
355,-48.15719
356,-48.579163
357,-49.00465
358,-49.433758
359,-49.86661
360,-50.303333
361,-50.74406
362,-51.18893
363,-51.63809
364,-52.091694
365,-52.549908
366,-53.012913
367,-53.48089
368,-53.954033
369,-54.43256
370,-54.916687
371,-55.40666
372,-55.90273
373,-56.40517
374,-56.91428
375,-57.43037
376,-57.95379
377,-58.484894
378,-59.024097
379,-59.571827
380,-60.128555
381,-60.6948
382,-61.27113
383,-61.858166
384,-62.456604
385,-63.0672
386,-63.690807
387,-64.32838
388,-64.98099
389,-65.64985
390,-66.33635
391,-67.04206
392,-67.76884
393,-68.51881
394,-69.294495
395,-70.09893
396,-70.935745
397,-71.80941
398,-72.725525
399,-73.69126
400,-74.71601
401,-75.81257
402,-76.99911
403,-78.30298
404,-79.76896
405,-81.48033
406,-83.63197
